text,label
Pothole on national highway,NHAI
Road damaged near toll gate,NHAI
Crack on highway bridge,NHAI
Highway road has deep cracks,NHAI
Large pothole causing accidents on highway,NHAI
Road surface completely broken on NH44,NHAI
Highway divider broken near flyover,NHAI
No street lights on national highway,NHAI
Waterlogging on highway causing traffic jam,NHAI
Highway toll booth staff misbehaved,NHAI
Road construction incomplete for months,NHAI
Flyover construction blocking road,NHAI
Highway median damaged after accident,NHAI
Speed breakers not marked on highway,NHAI
No signboards on national highway stretch,NHAI
Potholes causing two wheeler accidents,NHAI
Highway road not repaired after monsoon,NHAI
Broken road near highway underpass,NHAI
Toll collected but road not maintained,NHAI
Highway expansion project stalled,NHAI
Road cave-in on expressway,NHAI
Dangerous potholes on bypass road,NHAI
Highway lighting completely absent,NHAI
Road marking faded on national highway,NHAI
Accident prone stretch not fixed,NHAI
Expressway lane closed without notice,NHAI
Highway rest area in poor condition,NHAI
Pothole near highway toll plaza,NHAI
Road shoulder damaged on NH,NHAI
Waterlogged underpass on highway,NHAI
Debris on highway causing accidents,NHAI
Highway crash barrier broken,NHAI
Road repair work done poorly,NHAI
Illegal construction encroaching highway,NHAI
Highway divider missing for long stretch,NHAI
Potholes not repaired since months,NHAI
Highway service road blocked,NHAI
Cattle on highway causing accidents,NHAI
No emergency lane on highway,NHAI
Highway signage missing near junction,NHAI
Pothole filled poorly and broke again,NHAI
Highway toll overcharging vehicles,NHAI
Road subsidence on national highway,NHAI
Crack on highway flyover structure,NHAI
No speed limit boards on highway,NHAI
Highway road dusty due to incomplete work,NHAI
Road damaged by heavy vehicles,NHAI
Pothole causing vehicle damage,NHAI
No NHAI helpline response,NHAI
Highway project contractor doing poor work,NHAI
Road cave in near bridge,NHAI
Missing guard rails on highway,NHAI
Dangerous curve not signposted,NHAI
Highway road washed out in rain,NHAI
Footpath on highway completely broken,NHAI
NH bypass road full of potholes,NHAI
Highway expansion project causing dust,NHAI
No ambulance access due to road damage,NHAI
Road repair quality very poor on NH,NHAI
Pothole on highway caused tyre burst,NHAI
Highway road extremely narrow at point,NHAI
Broken road stud on expressway,NHAI
NHAI contractor not completing work,NHAI
Heavy traffic due to highway maintenance,NHAI
Highway road not repaired for years,NHAI
Improper highway lane markings,NHAI
Highway bridge showing cracks,NHAI
Potholes near toll booth area,NHAI
Divider rods missing on highway,NHAI
Highway road muddy after rain,NHAI
Expressway signage completely wrong,NHAI
Road damaged near highway junction,NHAI
